site_id,rho_max,rho_null,c_ov,k_ov,k,tau,eta_null
2RI,412.2318552280263,95.70276860461097,0.0003828541499999,0.4712599410700057,0.022542994932528,0.0205666755198145,9544826.068073172
2ST,415.4317842200048,69.25659622444176,0.0004863042824215,0.4389895746852227,0.0244433417883755,0.0191505260963648,9754681.706962977
2TR,459.03621666748415,77.25197371601261,0.0005435792903532,0.4349268857022837,0.0261437534323018,0.0273971859518345,10647277.519369856
3BR,444.3180542628969,69.23014281067167,0.0004036082740961,0.3950947183338239,0.024293776128733,0.0274591082572513,9287819.24980334
3EL,402.8971187272103,65.0089399588049,0.00051017679132,0.4658487285800458,0.0259503852608608,0.0217371966981562,10133366.913695002
3FB,403.4404856075927,109.63047675532827,0.0004439706393211,0.3183564948189446,0.0315544682904211,0.0290516498155339,6411765.800476644
3MB,372.64702833093713,76.62466968381995,0.0004290618561968,0.3933203013696322,0.0299507278233257,0.0178848603816063,8124924.711571607
3SW,437.50339294359617,82.20474001121104,0.0006150998712483,0.2966384450136295,0.0285370450554761,0.0243355816399872,8557152.211728694
4BP,371.8780677704241,78.06933518509832,0.0005300632291961,0.3292657587749935,0.0253870728597743,0.0289025758780748,8006737.415459357
4CR,377.4278447592085,65.15367873326889,0.0004147604805555,0.4346010581427955,0.0263985118261033,0.0182423145822338,8321096.036921089
4EG,355.24913993846303,134.87948149856172,0.0003906478612488,0.4579805830937729,0.0305451428774401,0.0183394580950691,7112338.484020147
4FY,401.346020092761,88.38185809921846,0.000409132912005,0.4625677728755922,0.0279174283861894,0.0233733152250533,8678390.872843588
4KU,407.3383857396382,66.12611288762494,0.0004447716358212,0.4290625422873125,0.0279700279545669,0.0203962117642089,8319768.283969198
4MS,379.9849106114985,66.0769790770963,0.0004592371846449,0.3705926671017052,0.0226018899919161,0.0235100232603211,9537705.896150265
4SF,331.3679961507432,65.28055964362736,0.0004908706992771,0.344011049445842,0.0240083465946213,0.0207161052598489,9761217.94433283
4SH,467.6885046477705,119.81661179678578,0.0006282596917957,0.2994213636025316,0.0303161921591451,0.0284017328411714,9328518.817808468
4UL,420.9292863350215,94.72322342841656,0.0005405998468323,0.3918475326090226,0.0319688343362452,0.0197423897498867,7777454.663191404
4WI,363.3602172447284,69.23577675171009,0.0003989584921569,0.4381341731877808,0.0246794250505325,0.0204912096000255,8110502.711273809
4ZE,362.8190241450061,78.3068537273648,0.0004612863214261,0.3832556359921849,0.0270031109910209,0.0179095548856721,10458345.78088012
5AR,398.7494467223146,66.87920365932717,0.0005466054980132,0.3076434605313376,0.0313296984730017,0.0225100559937107,7701625.115540487
5BI,388.595155407028,65.85571660589493,0.00052627631954,0.4057032343448096,0.0260947665477178,0.0207964834759913,6419275.94805795
5DF,394.9765252001524,90.48250303597143,0.0003828541499999,0.3972035476927088,0.0287668597629342,0.026995579110294,7905074.812933949
5DI,365.5757736982303,107.17773988917376,0.0004663224999336,0.4532597593498806,0.0365328008436572,0.0221934781939661,10071915.66548713
5FU,336.497549331081,65.76606955316284,0.0006030741484327,0.425877287884171,0.0274086987060645,0.022584190084741,6690492.006917229
5JU,390.2418546441338,83.84368614360655,0.0003961221548405,0.4529081445040587,0.0250714643166777,0.0182137958155198,7353328.905942426
5KK,392.4618010949976,81.56351808951212,0.0003828541499999,0.4451571256723866,0.0301567957716736,0.020141849345001,9941065.775754984
