site_id,location_name,lon_[wgs84],lat_[wgs84],elevation_[m],dataset
7SN,Samnaun,10.395229176898601,46.96053490756922,1750,validation_data_manual_stations
7ST,Sta.Maria,10.419340054399221,46.60005730524257,1415,validation_data_manual_stations
7ZU,Zuoz,9.962671842815714,46.604579081289714,1710,validation_data_manual_stations
KUT_aws,kuehtai,11.005999000000001,47.207111,1920,validation_data_automatic_stations
CDP_aws,col_de_porte,5.76558149461089,45.294981363907006,1325,validation_data_automatic_stations
DAV_aws,davos,9.84826,46.81275,1563,validation_data_automatic_stations
LAR_aws,laret,9.87144,46.84514,1513,validation_data_automatic_stations
WFJ_aws,weissfluhjoch,9.80926,46.82955,2536,validation_data_automatic_stations
WAL_aws,wattener_lizum,11.638580000000001,47.1682,1995,validation_data_automatic_stations
FEL_aws,fellhorn,10.22033,47.339909999999996,1610,validation_data_automatic_stations
KUR_aws,kuehroint,12.95973,47.57014,1420,validation_data_automatic_stations
SPI_aws,spitzingsee,11.88617,47.67155,1100,validation_data_automatic_stations
ZUG_aws,zugspitze,10.9834540933177,47.4063023860594,2420,validation_data_automatic_stations
